time,open,high,low,close,Volume
1642775400,42.284,43.4075,36.5985,37.589,15706930
1643034600,32.0,37.3,31.9005,37.045,15060920
1643121000,36.999,37.94,35.5,36.505,8319400
1643207400,39.36603,39.36603,34.595,35.365,7891780
1643293800,36.0,36.0,31.759,31.945,8737400
1643380200,32.869,34.21,30.719,33.895,8143280
1643639400,33.788,37.0795,33.29501,36.801,7629500
1643725800,38.286,39.095,36.26885,37.3,6405930
1643812200,36.674,36.869,33.60358,34.884,7402090
1643898600,34.0,35.6845,33.196,34.009,5535980
1643985000,34.076,39.858,33.974,39.164,9440010
1644244200,40.45118,43.33297,40.4,41.347,10873800
1644330600,40.875,42.673,40.3475,42.543,4889110
1644417000,43.0,44.66,42.22,44.66,3988570
1644503400,43.95,46.304,42.4535,43.148,6236070
1644589800,43.011,44.365,40.55,41.101,4971700
1644849000,41.47,42.94899,40.5,40.949,3424340
1644935400,43.101,43.8276,42.4495,43.724,3144770
1645021800,42.852,43.751,41.603,43.498,3304470
1645108200,42.023,42.33,40.188,40.46,3753480
1645194600,40.459,40.746,38.522,39.597,4694200
1645540200,37.58142,39.0,36.804,37.77,4672350
1645626600,39.05,39.32,36.3,36.503,3655790
1645713000,34.024,39.94,33.684,39.696,7312570
1645799400,40.3,41.2,39.258,40.5,4069940
1646058600,40.157,44.71245,40.157,44.3,5982230
1646145000,46.512,47.3048,44.969,46.473,6571430
1646231400,45.482,46.969,45.09251,45.929,4028040
1646317800,45.51,46.01497,42.612,42.87,3184330
1646404200,42.5,43.362,40.706,41.036,3410610
1646663400,41.51,42.5,38.843,38.891,4721650
1646749800,39.498,42.5,39.361,41.036,4431910
1646836200,44.2,45.445,43.42365,43.675,4581380
1646922600,41.5,42.29799,40.64688,42.113,2919890
1647009000,42.7,42.918,39.04868,39.082,3538770
1647264600,38.995,39.288,36.391,36.993,4931900
1647351000,36.907,39.615,36.32001,39.614,3780140
1647437400,40.017,42.949,39.8745,42.878,5693880
1647523800,42.798,44.21,42.5,43.409,3397870
1647610200,43.582,45.69,43.192,45.428,7103760
1647869400,45.107,45.45,43.02944,43.648,3502360
1647955800,45.016,46.77,44.883,45.995,4343940
1648042200,45.516,47.0305,44.7,45.069,2536490
1648128600,45.966,48.4735,45.1,48.392,4389960
1648215000,49.37,49.39337,46.0935,47.242,4126750
1648474200,49.604,51.233,48.8,51.0,4265230
1648560600,51.0,52.28028,49.53689,52.0,3638740
1648647000,50.62,51.6,49.70401,50.069,2783950
1648733400,50.493,50.65509,48.561,48.632,3329570
1648819800,48.956,49.8,47.88,49.098,2707780
1649079000,49.172,50.33,48.855,50.126,2668070
1649165400,50.857,50.857,47.122,48.728,4540430
1649251800,47.292,47.685,44.7595,45.511,4306780
1649338200,45.55,46.77,44.6,46.361,3426710
1649424600,45.908,47.06,45.281,45.324,2748540
1649683800,44.122,44.7505,42.503,43.639,3566830
1649770200,44.8,47.607,43.749,44.345,4922670
1649856600,44.125,46.659,44.125,46.358,2613130
1649943000,46.402,46.975,44.64301,44.919,2567010
1650288600,44.78,45.216,43.131,44.589,2522580
1650375000,45.0,47.117,44.3,47.114,2847760
1650461400,47.66,47.728,44.645,44.903,2820800
1650547800,46.102,47.187,42.5805,42.786,4163030
1650634200,42.492,43.698,40.8,40.908,3542700
1650893400,40.508,42.8,40.398,42.8,3293110
1650979800,42.6,42.7435,39.03401,39.101,3749040
1651066200,39.32,40.596,38.365,38.578,3072710
1651152600,39.3,40.406,36.965,40.049,4053300
1651239000,39.3,41.0,35.3,35.417,5479780
1651498200,35.601,36.95299,34.371,36.591,5160050
1651584600,36.4,36.894,34.009,34.34,4751970
1651671000,35.001,36.862,32.525,36.644,8104430
1651757400,35.662,35.7335,30.56,31.452,8594210
1651843800,30.906,31.0,28.2545,29.424,12083840
1652103000,27.125,27.125,21.412,21.905,19280310
1652189400,23.959,24.952,20.837,22.552,17050600
1652275800,20.0,21.776,16.5,16.82,36187640
1652362200,15.319,20.52622,13.409,17.118,46929100
1652448600,20.206,22.0,19.3295,20.457,25233570
1652707800,20.0,20.8405,19.301,20.151,10088960
1652794200,21.0,22.596,20.504,22.487,10170550
1652880600,21.688,22.38809,19.554,19.744,9952570
1652967000,20.479,22.032,19.8049,21.077,8014850
1653053400,21.452,21.94899,18.9,20.275,9193010
1653312600,21.164,21.5,19.83,20.437,8984500
1653399000,20.06,20.133,18.44,19.301,8066760
1653485400,19.073,20.343,19.029,19.812,5390640
1653571800,18.022,22.071,17.61,21.61,9678470
1653658200,22.028,23.387,21.28,21.939,9705870
1654003800,23.517,27.288,22.852,26.469,15526960
1654090200,26.135,26.7,23.3,23.814,8710420
1654176600,23.282,25.08,23.18177,24.446,5960210
1654263000,23.938,23.938,22.355,22.722,4992260
1654522200,24.395,24.877,23.236,23.544,5853770
1654608600,22.17,24.24916,21.8081,24.0,6666690
1654695000,23.688,24.699,23.21943,23.289,3107770
1654781400,23.133,23.35259,21.63607,21.776,5242830
1654867800,21.189,21.386,19.78,20.336,7849910
1655127000,14.931,16.798,14.39,15.215,36774720
1655213400,14.901,16.868,14.53,15.687,18926260
1655299800,16.025,17.688,15.61,17.134,18770150
1655386200,16.087,16.70346,15.446,16.134,11403370
1655472600,15.803,16.856,15.751,16.76,12301670
1655818200,17.094,19.48223,16.998,17.896,11347020
1655904600,17.725,18.7,16.828,17.091,7515250
1655991000,17.7,18.903,16.893,18.831,6690750
1656077400,19.5,20.799,19.4,20.544,9964550
